시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/28/2017 04:35,6.42,531,27.41,967,16.11,43.25,130,13891,27.39,5.8
8/28/2017 04:36,6.44,444,22.58,912,15.19,48.71,99,25472,21,5.99
8/28/2017 04:37,6.28,463,23.75,911,15.18,39.31,96,12323,21.79,5.56
8/28/2017 04:38,6.38,446,22.5,1007,16.78,57.87,100,13360,22,6.01
8/28/2017 04:39,6.95,502,25.25,934,15.56,39.46,135,28570,23.39,6.3
8/28/2017 04:40,7.01,615,30.83,1103,18.38,40.54,134,15538,27.2,6.28
8/28/2017 04:41,6.8,624,31.08,968,16.13,40.85,138,14493,22.2,6.24
8/28/2017 04:42,5.97,666,33.65,906,15.1,41.54,103,24839,21.79,5.43
8/28/2017 04:43,5.68,496,25.08,889,14.81,34.79,93,11417,22,5.27
8/28/2017 04:44,6.47,540,28.25,1067,17.78,47.48,91,13582,22.6,5.85
8/28/2017 04:45,7.44,562,28.33,1050,17.5,37.47,114,27978,23,6.69
8/28/2017 04:46,6.52,590,29.83,1025,17.07,45.21,98,14063,23.2,6.01
8/28/2017 04:47,5.9,505,25.08,982,16.36,36.54,84,12006,20.39,5.34
8/28/2017 04:48,6.56,432,20.91,1025,17.07,38.4,76,24844,24.39,6.04
8/28/2017 04:49,6.25,429,20.26,1025,17.07,38.61,98,13102,22.6,5.91
8/28/2017 04:50,6.24,626,32.22,954,15.89,38.75,98,13131,22.6,5.51
8/28/2017 04:51,7.01,526,27.23,1062,17.7,42.99,117,26978,23.39,6.26
8/28/2017 04:52,6.57,607,31.26,1034,17.23,32.79,99,12693,20.79,6.07
8/28/2017 04:53,5.87,450,22.89,949,15.81,38.76,87,12112,19.79,5.38
8/28/2017 04:54,7.05,439,21.89,1001,16.68,43.67,132,28209,20,6.41
8/28/2017 04:55,6.49,487,24.5,987,16.45,41.43,110,13626,22.2,5.98
8/28/2017 04:56,6.17,509,25.5,941,15.68,34.27,95,13512,19.39,5.49
8/28/2017 04:57,6.51,642,33.06,998,16.63,57.32,100,25522,21.79,5.78
8/28/2017 04:58,6.34,574,29.63,954,15.89,37.74,87,13686,22.2,5.71
8/28/2017 04:59,6.72,559,28.06,1073,17.88,49.59,111,13767,22.79,6.31
8/28/2017 05:00,17.34,569,28.93,904,15.06,44.11,103,25930,23.39,4.17
8/28/2017 05:01,18.84,525,26.13,1151,19.18,39.51,107,14945,27,4.94
8/28/2017 05:02,20.85,581,29,1325,22.08,36.84,105,16429,27.6,6.18
